Kili,550,652,716,784,830,904,1044,1149,1155,1220,1260,1358,1438,1506,1576,1604,1785,1890,1972,2240,2170,2592,3290,3750,4445,5050,5700,7300,8400,10050,13300
Fili,540,605,678,740,819,911,1050,1085,1175,1224,1290,1400,1538,1547,1550,1645,1783,1895,2009,2170,2300,2495,3100,3600,4100,4900,5450,6950,7950
Nori,462,550,630,720,785,855,998,1055,1136,1225,1236,1379,1465,1494,1586,1703,1832,1890,2080,2230,2358,2500,3124,3600,4330,5150,5650,7150,7800,9500,12840
Dori,502,580,642,711,784,875,975,1054,1121,1256,1260,1343,1460,1430,1516,1659,1780,1850,1937,2135,2225,2398,2980,3330,3955,4650,5300,6250,7100,8550,11200
Merry,436,505,585,675,718,787,830,964,1030,1046,1130,1210,1361,1470,1447,1516,1664,1750,1896,1890,2123,2230,2850,3200,3700,4250,4750,5700,6550,7423,9600
Sammy,440,514,560,650,735,800,897,972,1030,1150,1165,1250,1360,1345,1448,1464,1610,1805,1848,1890,1983,2115,2500,2870,3320,3750,4100,5200,5950,7229,10500
Bilbo,430,515,571,658,730,818,913,973,1045,1180,1200,1291,1308,1438,1466,1632,1660,1813,1892,2040,2230,2335,2997,3520,4238,4900,5300,7050,7950,9400,13000
days,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,26,30,34,39,45,52,59,68,91
